,,,,,,
,occupation_cd1_v2,occupation_cd2_v2,occupation_cd3_v2,occupation_cd_name,jobtype_detail_v2,jobtype_detail_name
,600,600,600,軽作業・工場・建築・土木系,48,製造・加工・組立・整備
,600,600,600,軽作業・工場・建築・土木系,48,製造・加工・組立・整備
,600,600,600,軽作業・工場・建築・土木系,50,構内作業・フォークリフト
,600,600,600,軽作業・工場・建築・土木系,51,建築・土木・設備
,600,600,600,軽作業・工場・建築・土木系,52,その他(軽作業・工場・建築・土木系)
,200,200,200,販売・サービス・アパレル系,13,警備・交通誘導
,200,200,200,販売・サービス・アパレル系,21,清掃
,200,200,200,販売・サービス・アパレル系,24,その他(販売・サービス・アパレル系)
,600,600,600,軽作業・工場・建築・土木系,48,製造・加工・組立・整備
,600,600,600,軽作業・工場・建築・土木系,47,梱包・検品・仕分・商品管理
,300,300,300,配送・引越・ドライバー系,29,引越し
,300,300,300,配送・引越・ドライバー系,26,配送・配達ドライバー
,300,300,300,配送・引越・ドライバー系,26,配送・配達ドライバー
,300,300,300,配送・引越・ドライバー系,27,デリバリー・ケータリング
,300,300,300,配送・引越・ドライバー系,28,新聞配達・ポスティング
,300,300,300,配送・引越・ドライバー系,31,その他(配送・引越・ドライバー系)
,200,200,200,販売・サービス・アパレル系,13,警備・交通誘導
,200,200,200,販売・サービス・アパレル系,21,清掃
,1000,1000,1000,イベント・キャンペーン系,70,モニター・調査・アンケート
,600,600,600,軽作業・工場・建築・土木系,50,構内作業・フォークリフト
,600,600,600,軽作業・工場・建築・土木系,47,梱包・検品・仕分・商品管理
,600,600,600,軽作業・工場・建築・土木系,51,建築・土木・設備
,600,600,600,軽作業・工場・建築・土木系,52,その他(軽作業・工場・建築・土木系)
,600,600,600,軽作業・工場・建築・土木系,49,搬入・搬出・設営
,600,600,600,軽作業・工場・建築・土木系,52,その他(軽作業・工場・建築・土木系)
,700,700,700,美容・理容・エステ系,54,エステ・セラピスト
,700,700,700,美容・理容・エステ系,53,美容師・理容師
,700,700,700,美容・理容・エステ系,54,エステ・セラピスト
